,Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Latitude1,Longitude1,OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods,Distance
1115978,Jewish Community Center San Francisco - Helen Diller Family Preschool,Private,-2,-1,PK,Independent / Private,CDC057,3,4,CDC,384001263.0,"3200 CALIFORNIA ST, SAN FRANCISCO, CA 94118",2,6075,SAN FRANCISCO,"CA
(37.787365, -122.44722)",37.787365,-122.44722,10240,3200 CALIFORNIA ST,Jewish Communtiy Center,CALIFORNIA,SIDEWALK,4,8,,2013,0,37.787481,-122.447372,POINT (-122.44736 37.787476),10.0,8.0,6.0,31.0,80.0,,,10.0,0.00026799999999838064
1116816,Jewish Community Center San Francisco - Helen Diller Family Preschool,Private,-2,-1,PK,Independent / Private,CDC057,3,4,CDC,384001263.0,"3200 CALIFORNIA ST, SAN FRANCISCO, CA 94118",2,6075,SAN FRANCISCO,"CA
(37.787365, -122.44722)",37.787365,-122.44722,11372,3200 CALIFORNIA ST,Jewish Communtiy Center,CALIFORNIA,SIDEWALK,4,8,,2012,0,37.787481,-122.447372,POINT (-122.44736 37.787476),10.0,8.0,6.0,31.0,80.0,,,10.0,0.00026799999999838064
1123984,Peters Place Nursery School,Private,-2,-1,PK,Independent / Private,CDC121,3,4,CDC,384000741.0,"227 BALBOA ST, SAN FRANCISCO, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.777092, -122.461357)",37.777092,-122.461357,9043,227 Balboa,Peter's Place Nursery,BALBOA,SIDEWALK,1,2,,2016,10,37.777298,-122.461091,POINT (-122.461075 37.777294),5.0,8.0,4.0,11.0,141.0,,,5.0,0.0004720000000091318
1125571,Peters Place Nursery School,Private,-2,-1,PK,Independent / Private,CDC121,3,4,CDC,384000741.0,"227 BALBOA ST, SAN FRANCISCO, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.777092, -122.461357)",37.777092,-122.461357,12748,602 4th Avenue,,4th Avenue,SIDEWALK,1,2,,2019,12,37.77711539,-122.46184219,POINT (-122.46183 37.77711),5.0,8.0,4.0,11.0,141.0,,,5.0,0.0005085799999875462
1129139,Wu Yee Child Development Center - Chinatown Little Sprouts,Private,-2,-1,PK,Independent / Private,CDC158,3,4,CDC,384000804.0,"831 BROADWAY ST, SAN FRANCISCO, CA 94133",3,6075,SAN FRANCISCO,"CA
(37.797012, -122.410713)",37.797012,-122.410713,9075,843 broadway,Computer Repair,BROADWAY,SIDEWALK,1,2,,2016,8,37.797094,-122.410903,POINT (-122.41089 37.79709),107.0,6.0,3.0,6.0,16.0,,,107.0,0.00027200000000249247
1148532,Urban School Of San Francisco,Private,9,12,9-12,Independent / Private,IND333,14,17,IND,38684786938930.0,"1563 PAGE ST, SAN FRANCISCO, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.770832, -122.44635)",37.770832,-122.44635,11045,1428 HAIGHT ST,Squat & Gobble,HAIGHT,SIDEWALK,1,2,,2002,0,37.770361,-122.445953,POINT (-122.44594 37.770355),25.0,7.0,11.0,3.0,91.0,,,25.0,0.0008679999999898769
1149875,Mission Neighborhood Centers - Stevenson,Private,-2,-1,PK,Independent / Private,CDC105,3,4,CDC,384000731.0,"1320 STEVENSON ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.771469, -122.421883)",37.771469,-122.421883,11298,151 VALENCIA ST,San Francisco Computer Repair,VALENCIA,SIDEWALK,1,2,,2013,1,37.771147,-122.422046,POINT (-122.422035 37.77114),32.0,1.0,10.0,20.0,89.0,,,32.0,0.00048500000000473165
1152030,Mission Neighborhood Centers - Stevenson,Private,-2,-1,PK,Independent / Private,CDC105,3,4,CDC,384000731.0,"1320 STEVENSON ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.771469, -122.421883)",37.771469,-122.421883,12759,1307 Stevenson St,,Stevenson St,SIDEWALK,2,4,,2019,12,37.7713856,-122.42171272,POINT (-122.4217 37.77138),32.0,1.0,10.0,20.0,89.0,,,32.0,0.0002536799999930395
1153107,Mission Neighborhood Centers - Stevenson,Private,-2,-1,PK,Independent / Private,CDC105,3,4,CDC,384000731.0,"1320 STEVENSON ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.771469, -122.421883)",37.771469,-122.421883,11543,105 VALENCIA ST,UNKNOWN,VALENCIA,SIDEWALK,1,2,,2005,0,37.771147,-122.422046,POINT (-122.422035 37.77114),32.0,1.0,10.0,20.0,89.0,,,32.0,0.00048500000000473165
1153441,Mission Neighborhood Centers - Stevenson,Private,-2,-1,PK,Independent / Private,CDC105,3,4,CDC,384000731.0,"1320 STEVENSON ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.771469, -122.421883)",37.771469,-122.421883,11646,147 VALENCIA ST,UNKNOWN,VALENCIA,SIDEWALK,1,2,,2005,0,37.771147,-122.422046,POINT (-122.422035 37.77114),32.0,1.0,10.0,20.0,89.0,,,32.0,0.00048500000000473165
1163316,Kids By The Bay Preschool,Private,-3,0,PK-K,Independent / Private,IND257,2,5,IND,384001720.0,"90 7TH ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.779549, -122.412102)",37.779549,-122.412102,9124,1117 MARKET ST,American Gymnastics & Raise the Bar Fitness,MARKET,SIDEWALK,2,4,,2012,7,37.77986,-122.412585,POINT (-122.412575 37.779854),32.0,5.0,10.0,34.0,181.0,7.0,1.0,32.0,0.0007939999999990732
1177020,La Scuola International School,Private,0,8,K-8,Independent / Private,IND260,5,13,IND,38684786144257.0,"735 FELL ST, SAN FRANCISCO, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.774921, -122.430046)",37.774921,-122.430046,11851,735 FELL ST,La Scuola,FELL,SIDEWALK,2,4,,2015,9,37.774969,-122.429938,POINT (-122.429924 37.774963),26.0,4.0,11.0,9.0,72.0,,,26.0,0.00015599999999693637
1185875,Kai Ming Head Start - Richmond Center,Private,-2,-1,PK,Independent / Private,CDC062,3,4,CDC,384001019.0,"426 33RD AVE, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.781128, -122.493202)",37.781128,-122.493202,9403,3141 Clement St,Akiba,CLEMENT,SIDEWALK,1,2,,2017,5,37.781588,-122.492813,POINT (-122.4928 37.78158),8.0,8.0,4.0,29.0,142.0,,,8.0,0.0008489999999952147
1187216,Kai Ming Head Start - Richmond Center,Private,-2,-1,PK,Independent / Private,CDC062,3,4,CDC,384001019.0,"426 33RD AVE, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.781128, -122.493202)",37.781128,-122.493202,11032,3131 CLEMENT ST,Art Gallery,CLEMENT,SIDEWALK,4,8,,2010,0,37.781389,-122.493045,POINT (-122.493034 37.781384),8.0,8.0,4.0,29.0,142.0,,,8.0,0.0004179999999962547
1196126,Angelas Children Center,Private,-2,-1,PK,Independent / Private,CDC003,3,4,CDC,380505898.0,"775 07TH AVE, SAN FRANCISCO, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.773998, -122.465179)",37.773998,-122.465179,12559,753 7th Avenue,Safeway,7th Avenue,SIDEWALK,3,6,,2019,12,37.77435951,-122.46488405,POINT (-122.464874 37.774353),5.0,8.0,4.0,11.0,94.0,,,5.0,0.0006564600000089627
1212518,La Piccola Scuola Italiana Preschool,Private,-2,-1,PK,Independent / Private,CDC069,3,4,CDC,,"728 20TH ST, SAN FRANCISCO, CA 94107",10,6075,SAN FRANCISCO,"CA
(37.760681, -122.389198)",37.760681,-122.389198,11875,728 20TH ST,La Scuola,TENNESSEE,SIDEWALK,2,4,,2015,1,37.760616,-122.3892,POINT (-122.38918 37.76061),55.0,2.0,9.0,26.0,167.0,14.0,,55.0,6.700000000847695e-05
1217555,Parkside Preschool & Kindergarten,Private,-2,0,PK-K,Independent / Private,IND281,3,5,IND,380506198.0,"2425 19TH AVE, SAN FRANCISCO, CA 94116",4,6075,SAN FRANCISCO,"CA
(37.742615, -122.47625)",37.742615,-122.47625,11832,949 TARAVAL ST,Sunset Hydrophonic,TARAVAL,SIDEWALK,1,2,,2006,0,37.742839,-122.476394,POINT (-122.47638 37.742832),40.0,10.0,7.0,35.0,95.0,,,40.0,0.0003680000000017003
1219372,Parkside Preschool & Kindergarten,Private,-2,0,PK-K,Independent / Private,IND281,3,5,IND,380506198.0,"2425 19TH AVE, SAN FRANCISCO, CA 94116",4,6075,SAN FRANCISCO,"CA
(37.742615, -122.47625)",37.742615,-122.47625,11631,925 TARAVAL ST,DOC-FAI Martial Arts,TARAVAL,SIDEWALK,1,2,,2011,6,37.742777,-122.476156,POINT (-122.47614 37.74277),40.0,10.0,7.0,35.0,95.0,,,40.0,0.00025599999998604517
1221719,Parkside Preschool & Kindergarten,Private,-2,0,PK-K,Independent / Private,IND281,3,5,IND,380506198.0,"2425 19TH AVE, SAN FRANCISCO, CA 94116",4,6075,SAN FRANCISCO,"CA
(37.742615, -122.47625)",37.742615,-122.47625,10596,2415 19TH AVE,Seniore's Pizza,19TH,SIDEWALK,1,2,,2010,0,37.742789,-122.475857,POINT (-122.475845 37.742783),40.0,10.0,7.0,35.0,95.0,,,40.0,0.0005669999999895481
1238296,Little School,Private,-2,-1,PK,Independent / Private,CDC078,3,4,CDC,384000125.0,"1520 LYON ST, SAN FRANCISCO, CA 94115",2,6075,SAN FRANCISCO,"CA
(37.785137, -122.444717)",37.785137,-122.444717,9561,1520 LYON ST,The Little School,LYON,SIDEWALK,2,4,,2013,5,37.785131,-122.444704,POINT (-122.44469 37.785126),103.0,8.0,6.0,31.0,77.0,,,103.0,1.8999999994662176e-05
1266971,Kellys Family Day Care,Private,-2,-1,PK,Independent / Private,CDC066,3,4,CDC,,"309 30TH ST, SAN FRANCISCO, CA 94131",8,6075,SAN FRANCISCO,"CA
(37.741787, -122.427292)",37.741787,-122.427292,11250,1798 CHURCH ST,Church Produce,CHURCH,SIDEWALK,1,2,,2013,9,37.742202,-122.426797,POINT (-122.42678 37.7422),84.0,9.0,5.0,22.0,174.0,,,84.0,0.0009099999999975239
